"name","postal","city","address","www","email","phone","rector","sun","week","fest","latlng","url"
"Parafia Świętych Apostołów Piotra i Pawła","76-220","Główczyce","76-220 Główczyce, Kościuszki 9","","","59 811 60 52, http://salezjanie.pl/glowczyce","ks. Tadeusz Stromski SDB, mgr teol.","godz. 8.30, 9.00 (Szczypkowice), 10.00 godz. 10.30 (Izbica), 12.00, 18.00 godz. 12.00 (Będziechowo) ","godz. 16.00 (wtorek w Szczypkowicach) godz. 16.00 (środa w Izbicy) godz. 16.00 (czwartek w Będziechowie) godz. 18.00","godz. 10.00, 18.00 godz. 16.00 (Izbica, Będziechowo i Szczypkowice) ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=198:Parafia-Swietych-Apostolow-Piotra-i-Pawla"
"Parafia Nawiedzenia Najświętszej Maryi Panny","83-312","Hopowo","83-312 Hopowo","","","58 684 19 06","ks. Tadeusz Łącki, mgr teol.","godz. 8.00, 10.00, 11.30 ","godz. 17.00 (zimą), 19.00 (latem)","godz. 8.00, 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=245:Parafia-Nawiedzenia-Najswietszej-Maryi-Panny"
"Parafia Świętego Józefa","83-261 Piece","Huta Kalna","83-261 Piece Huta Kalna, Koś­cielna 15","","","58 587 76 39","ks. Grzegorz Sobota","godz. 8:30, 11:00 ","godz. 17.00","godz. 9.00, 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=179:Parafia-Swietego-Jozefa"
"Parafia Matki Boskiej Różańcowej","89-512","Iwiec","89-512 Iwiec","","","52 336 40 70","ks. Piotr Breiski, mgr teol.","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=286:Parafia-Matki-Boskiej-Rozancowej"
"Parafia Świętego Wawrzyńca","83-211","Jabłowo","83-211 Jabłowo, Szkolna 2","","","58 562 16 25","ks. Gerard Jakubiak, mgr teol.","godz. 8.30, 10.00, 11.30 ","godz. 17.00 (zimą), 18.00 (latem)","godz. 8.30, 17.00 (zimą), 18.00 (latem) ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=325:Parafia-Swietego-Wawrzynca"
"Parafia Trójcy Świętej","86-131","Jeżewo","86-131 Jeżewo, Główna 4","","","52 331 80 24","ks. Franciszek Behrendt, lic. misjologii","godz. 8.00, 10.00, 15.00 (Buśnia), 16.30 ","godz. 16.30, 17.30","godz. 8.00, 10.00, 16.30 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=225:Parafia-Trojcy-Swietej"
"Parafia Matki Bożej Nieustającej Pomocy","83-260","Kaliska","83-260 Kaliska, Długa 25","","","58 588 91 69, 58 588 95 18","ks. Józef Słupski","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=422:Parafia-Matki-Bozej-Nieustajacej-Pomocy"
"Parafia Świętego Rocha","83-425 Dziemiany","Kalisz Kaszubski","83-425 Dziemiany Kalisz Kaszubski, Kalisz Kaszubski 125","","","58 688 09 41","ks. Ryszard Zieliński","godz. 9.00, 11.00 nabożeństw: ","godz. 7.00 lub 17.00 (zimą), 19.00 (latem)","godz. 8.00, 18.00 ","54.04467065304,17.797840017383","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=147:Parafia-Swietego-Rocha"
"Parafia Świętych Apostołów Piotra i Pawła","89-430","Kamień Krajeński","89-430 Kamień Krajeński, Mickiewicza 19","","","52 388 70 90","ks. Edwin Bernard Sołtysiak","godz. 7.30, 9.00, 9.15 (Duża Cerkwica) godz. 10.45, 11.00 (Mała Cerkwica), 15.15 ","godz. 9.00, 17.00 (Duża Cerkwica i Mała Cerkwica), 18.00","godz. 9.00, 10.45, 15.30, 18.00 Duża Cerkwica: godz. 9.15, 17.00 Mała Cerkwica: godz. 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=233:Parafia-Swietych-Apostolow-Piotra-i-Pawla"
"Parafia Matki Bożej Nieustającej Pomocy","83-342","Kamienica Królewska","83-342 Kamienica Królewska","","","58 681 92 72","ks. Andrzej Piernikarczyk","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=341:Parafia-Matki-Bozej-Nieustajacej-Pomocy"
"Parafia Świętego Andrzeja Boboli","83-230 Smętowo Graniczne","Kamionka","83-230 Smętowo Graniczne Kamionka","","","52 332 88 11","ks. Tadeusz Galikowski","godz. 7.20, 9.00, 10.30 ","godz. 16.00 (zimą), 17.00 (latem)","godz. 10.00, 16.00 albo 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=314:Parafia-Swietego-Andrzeja-Boboli"
"Parafia Matki Boskiej Różańcowej","83-440 Karsin","Karsin","83-440 Karsin Karsin, Długa 192","","","58 680 04 15","ks. Dominik Szulwic","godz. 8.00, 10.00, 11.30 nabożeństw: ","godz. 7.00 lub 18.00","godz. 8.00, 16.00, 18.00 ","53.9024585,17.9194558","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=148:Parafia-Matki-Boskiej-Rozancowej"
"Parafia Wniebowzięcia Najświętszej Maryi Panny","83-300","Kartuzy","83-300 Kartuzy, Klasztorna 3","","","58 681 20 85, http://www.kolegiata.nazwa.pl","ks. Piotr Paweł Krupiński, mgr teol., dziekan","godz. 6.30 (szpital), 7.00, 8.15, 9.30, 11.00, godz. 12.30, 18.00 ","godz. 7.00, 8.00, 18.00","godz. 7.00, 8.30, 11.00, 16.30,18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=246:Parafia-Wniebowziecia-Najswietszej-Maryi-Panny"
"Parafia Świętego Kazimierza","83-300","Kartuzy","83-300 Kartuzy, Dworcowa 8","","","58 681 18 04, 58 685 33 99, www.kazimierz.kartuzy.pl","ks. Ryszard Różycki, dr teol.","godz. 7.00, 7.30 (kaplica), 8.30, 9.45 godz. 11.00, 12.15, 19.00, 20.30 (VII-VIII) ","godz. 6.30, 7.00 (kaplica), 8.30, 18.00 godz. 19.00 (IV-IX)","godz. 6.15, 7.00 (kaplica), 8.30, 9.45, 18.00 godz. 19.00 (IV-IX) ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=247:Parafia-Swietego-Kazimierza"
"Parafia Świętego Wojciecha","83-300","Kartuzy","83-300 Kartuzy, Wybickiego 35","","","58 681 26 00, www.wojciech-kartuzy.pelplin.opoka.org.pl/","ks. Marek Trybowski, dr teol.,","godz. 7.00, 9.00, 10.30, 12.00, 17.00 ","godz. 7.00, 17.00, 18.00","godz. 7.00, 10.00, 16.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=248:Parafia-Swietego-Wojciecha"
"Parafia Świętego Józefa","83-221 Osiek","Kasparus","83-221 Osiek Kasparus, Kasparus 62","","","","parafia Skórcz","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=365:Parafia-Swietego-Jozefa"
"PARAFIA Chrystusa Króla","89-506","Kęsowo – Jeleńcz","89-506 Kęsowo – Jeleńcz, Szkolna 10","","","52 334 40 15","ks. Rafał Witta, mgr teol.","godz. 7.30, 9.15 (Kęsowo) godz. 11.00 (Jeleńcz) ","godz. 17.00 (zimą), 17.30 (latem) Kęsowo","godz. 10.00, 17.00 (zimą), 17.30 (latem) – Kęsowo godz. 15.30 (zimą), 16.00 (latem) – Jeleńcz ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=234:PARAFIA-Chrystusa-Krola"
"Parafia Świętego Michała Archanioła","83-307","Kiełpino","83-307 Kiełpino, ks. Arasmusa 2","","","58 681 23 45","ks. Arkadiusz Okroj, dr teol.","7:30, 8:30 (Borcz), 9:30 (dzieci), 11:00, 12:00 (młodzież), 18:00 – dni powszednie: 7:15, 17:00, 18:00 http://parafiakielpino.pl biuro@parafiakielpino.pl","7:15, 17:00, 18:00 http://parafiakielpino.pl biuro@parafiakielpino.pl","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=249:Parafia-Swietego-Michala-Archaniola"
"Parafia Świętego Jana Chrzciciela","83-206","Kleszczewo Kościerskie","83-206 Kleszczewo Kościerskie","","","58 561 68 24","ks. Edward Kampen, dr teol.","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=423:Parafia-Swietego-Jana-Chrzciciela"
"Parafia Świętej Katarzyny","83-130 Pelplin","Klonówka","83-130 Pelplin Klonówka, Kościelna 7","","","58 563 71 45","ks. Przemysław Piwowarczyk, lic. teol.","godz. 9.00, 10.30 (Kolincz), 12.00 ","godz. 17.00 godz. 18.00 (sobota – Nowy Dwór)","godz. 9.00, 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=326:Parafia-Swietej-Katarzyny"
"Parafia Najświętszej Maryi Panny Matki Miłosierdzia","83-322 Stężyca","Klukowa Huta","83-322 Stężyca Klukowa Huta, Derdowskiego 8","","","58 684 33 78","ks. Dariusz Knut","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=385:Parafia-Najswietszej-Maryi-Panny-Matki-Milosierdzia"
"Parafia Świętej Barbary","83-207","Kokoszkowy","83-207 Kokoszkowy, Szkolna 8","","","58 562 15 16","ks. Marek Błażejczyk","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=374:Parafia-Swietej-Barbary"
"Parafia Świętych Apostołów Piotra i Pawła","89-607 Konarzyny","Konarzyny","89-607 Konarzyny Konarzyny, Parkowa 1","","","59 833 10 12","ks. Marek Weltrowski","godz. 7.15, 9.15, 11.15 ","godz. 17.00 (zimą), 18.00 (latem)","godz. 9.00, 17.00 ","53.823091824193,17.377173778882","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=138:Parafia-Swietych-Apostolow-Piotra-i-Pawla"
"Parafia Świętego Antoniego Padewskiego","83-432 K","Konarzyny","83-432 K Konarzyny","","","58 687 96 94","ks. Michał Mazurek, mgr teol., lic. prawa kan.","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=424:Parafia-Swietego-Antoniego-Padewskiego"
"Parafia Wniebowzięcia Najświętszej Maryi Panny BAZYLIKA MNIEJSZA","86-010","Koronowo","86-010 Koronowo, Bydgoska 23","","","52 382 25 01","ks. kan. Ryszard Hirsz, prepozyt kapituły kolegiackiej","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=255:Parafia-Wniebowziecia-Najswietszej-Maryi-Panny-BAZYLIKA-MNIEJSZA"
"Parafia Trójcy Świętej","83-226","Kościelna Jania","83-226 Kościelna Jania","","","58 582 16 09","ks. dr Krzysztof Koch","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=366:Parafia-Trojcy-Swietej"
"Parafia Świętej Trójcy Sanktuarium Matki Bożej Królowej Rodzin","83-400","Kościerzyna","83-400 Kościerzyna, Jana Pawła II 1","","","58 686 26 51, www.sanktuarium.pl","ks. Marian Szczepiński","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=264:Parafia-Swietej-Trojcy-Sanktuarium-Matki-Bozej-Krolowej-Rodzin"
"Parafia Zmartwychwstania Pańskiego","83-400","Kościerzyna","83-400 Kościerzyna, Świętojańska 10","","","58 686 31 71, www.parafiakoscierzyna.p","ks. Józef Ryszard Pacholec CR","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=265:Parafia-Zmartwychwstania-Panskiego"
"Parafia Jezusa Chrystusa Króla Wszechświata","83-400","Kościerzyna","83-400 Kościerzyna, Konwaliowa 8","","","399 50 50 24","ks. Bogusław Kwasigroch","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=266:Parafia-Jezusa-Chrystusa-Krola-Wszechswiata"
"Parafia Najświętszego Serca Pana Jezusa","89-632 Brusy","Kosobudy","89-632 Brusy Kosobudy, Kosobudy","","","52 398 31 24","ks. Mirosław Romanowski","godz. 8.00 , 11.00 ","godz. 8.00","godz. 8.00, 18.00 ","53.873073602355,17.757359660535","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=149:Parafia-Najswietszego-Serca-Pana-Jezusa"
"Parafia Świętego Ottona","84-250","Kostkowo","84-250 Kostkowo","","","Kościelna 6","ks. Robert Mayer, mgr teol.","godz. 7.30, 12.30 godz. 18.00 (poniedz.-piątek) godz. 8.00 i 18.00 (sobota) Salino: niedziele i święta: godz. 8.45 dni powszednie: godz. 17.15 (środa) Rybno: niedziele i święta: godz. 10.00 dni powszednie: godz. 17.00 (czwartek) Chynowie: niedziele i święta: godz. 11.15 dni powszednie: godz. 17.00 (piątek)","godz. 17.15 (środa) Rybno: niedziele i święta: godz. 10.00 dni powszednie: godz. 17.00 (czwartek) Chynowie: niedziele i święta: godz. 11.15 dni powszednie: godz. 17.00 (piątek)","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=210:Parafia-Swietego-Ottona"
"PARAFIA Chrystusa Króla","77-140","Kołczygłowy","77-140 Kołczygłowy, ul. Słupska 16","","","59 821 34 19","ks. Jan Flaczyński, mgr teol.","godz. 8.00, 10.00 (Łubno), 11.45 ","godz. 17.00 (zimą), 18.00 (latem)","godz. 8.00, 18.00 ","54.238800568369,17.22682617666","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=159:PARAFIA-Chrystusa-Krola"
"Parafia Wniebowzięcia Najświętszej Maryi Panny","83-200 Starogard Gd.","Krąg","83-200 Starogard Gd. Krąg","","","58 562 24 00","ks. Jacek Cirocki","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=352:Parafia-Wniebowziecia-Najswietszej-Maryi-Panny"
"Parafia Najświętszego Serca Pana Jezusa","77-135","Kramarzyny","77-135 Kramarzyny","","","59 823 11 92","Ks. Krzysztof ROSZAK","godz. 8.00, 9.30 (Turowo) godz. 11.00 (Trzebiatkowa), 12.30 ","godz. 17.00","godz. 9.00, 15.30 (Turowo) godz. 17.00, 18.00 (Trzebiatkowa) ","54.059443615617,17.241958023279","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=160:Parafia-Najswietszego-Serca-Pana-Jezusa"
"Parafia Niepokalanego Poczęcia Najświętszej Maryi Panny","89-620 Chojnice","Krojanty","89-620 Chojnice Krojanty, 18 Pułku Ułanów Pom. 42","","","52 396 24 40","ks. Piotr Kotewicz","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=331:Parafia-Niepokalanego-Poczecia-Najswietszej-Maryi-Panny"
"Parafia Świętego Mikołaja","83-132","Królówlas","83-132 Królówlas","","","58 536 27 94","ks. Edmund Zalewski","godz. 8.30, 10.30 ","godz. 17.00","godz. 10.00, 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=216:Parafia-Swietego-Mikolaja"
"Parafia Świętej Barbary","83-230","Lalkowy","83-230 Lalkowy","","","58 561 94 24","ks. Dariusz Nenca, mgr teol.","godz. 8.00, 10.00, 12.00 (Bukowiny) ","godz. 17.00 (zimą), 18.00 (latem)","godz. 8.0, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=315:Parafia-Swietej-Barbary"
"Parafia Niepokalanego Serca Najświętszej Maryi Panny","86-130","Laskowice Pomorskie","86-130 Laskowice Pomorskie, Mickiewicza 3","","","52 331 81 19, fax 52 331 88 05, www.laskowiceomi.pl","o. Marek Pycka OMI","godz. 8.00, 9.30, 11.00, 18.00 ","godz. 7.00, 17.00 (XI-III), 18.00","godz. 10.00, 16.30, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=226:Parafia-Niepokalanego-Serca-Najswietszej-Maryi-Panny"
"Parafia Najświętszej Maryi Panny Królowej Polski","84-300","Lębork","84-300 Lębork, Kopernika 6","","","59 862 26 45","ks. Henryk Krenczkowski","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=275:Parafia-Najswietszej-Maryi-Panny-Krolowej-Polski"
"Parafia Świętego Jakuba Apostoła SANKTUARIUM ŚW. JAKUBA APOSTOŁA STARSZEGO","84-300","Lębork","84-300 Lębork, Basztowa 8","","","59 862 22 44, 59 862 22 27","o. Piotr Pawlik, OFM Conv.","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=276:Parafia-Swietego-Jakuba-Apostola-SANKTUARIUM-SW-JAKUBA-APOSTOLA-STARSZEGO"
"Parafia Świętej Jadwigi Śląskiej","84-300","Lębork","84-300 Lębork, ks. Szczepana Gracza 7","","","59 862 71 70","Ks. Sławomir PRABUCKI","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=277:Parafia-Swietej-Jadwigi-Slaskiej"
"Parafia Świętego Maksymiliana Marii Kolbego i Wszystkich Świętych","84-300","Lębork","84-300 Lębork, ul. Kartuska 2","","","59 863 14 41","ks. Henryk Kreft","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=278:Parafia-Swietego-Maksymiliana-Marii-Kolbego-i-Wszystkich-Swietych"
"Parafia Miłosierdzia Bożego","84-300","Lębork","84-300 Lębork, Kasztanowa 12/1","","","59 862 68 00","Ks. Janusz GÓRAL","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=279:Parafia-Milosierdzia-Bozego"
"Parafia Najświętszego Serca Pana Jezusa","84-300","Lębork","84-300 Lębork, Teligi 22","","","59 863 18 18","ks. Tomasz Bernard Król","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=280:Parafia-Najswietszego-Serca-Pana-Jezusa"
"Parafia Najświętszego Serca Pana Jezusa","89-504","Legbąd","89-504 Legbąd, ks. Stanisława Chudzińskiego 29","","","52 334 15 11","ks. Sławomir Mowiński, mgr teol.","godz. 8.30, 11.00 ","godz. 17.00","godz. 9.00, 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=180:Parafia-Najswietszego-Serca-Pana-Jezusa"
"Parafia Matki Boskiej Częstochowskiej","84-302","Leśnice","84-302 Leśnice, Leśnice 22","","","59 861 20 12","ks. Antoni Firmanty","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=274:Parafia-Matki-Boskiej-Czestochowskiej"
"Parafia Podwyższenia Krzyża Świętego","89-634 Leśno","Leśno","89-634 Leśno Leśno, kard. St. Wyszyńskiego 2","","","52 398 17 78","ks. Stanisław Pluto Prondziński","godz. 8.00, 10.00, 11.30 ","godz. 17.00 (zimą), godz. 18.00 (latem)","godz. 8.00, 10.00, 18.00 ","53.948875695099,17.700947681934","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=150:Parafia-Podwyzszenia-Krzyza-Swietego"
"Parafia Świętej Jadwigi Śląskiej","89-620 Chojnice","Lichnowy","89-620 Chojnice Lichnowy, Szkolna 3","","","52 396 15 95","ks. Andrzej Kuczyński","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=332:Parafia-Swietej-Jadwigi-Slaskiej"
"Parafia Świętego Marcina","83-121","Lignowy Szlacheckie","83-121 Lignowy Szlacheckie","","","58 536 11 31","ks. Zdzisław Styn, dziekan","godz. 7.30, 9.30 (Kursztyn), 10.50 ","godz. 17.00 godz. 18.00 (Kursztyn – środa)","godz. 9:00, 17.00, 18.00 (Kursztyn) ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=217:Parafia-Swietego-Marcina"
"Parafia Najświętszego Serca Pana Jezusa","84-223","Linia","84-223 Linia, Długa 18","","","58 676 86 46","ks. Wojciech Senger","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=342:Parafia-Najswietszego-Serca-Pana-Jezusa"
"Parafia Miłosierdzia Bożego","83-420","Liniewo","83-420 Liniewo, Wyzwolenia 23","","","58 687 81 94","ks. Grzegorz Flisikowski","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=353:Parafia-Milosierdzia-Bozego"
"Parafia Maryi Wspomożenia Wiernych","86-163","Lipinki koło Warlubia","86-163 Lipinki koło Warlubia","","","52 332 86 11","ks. Andrzej Kubisz, mgr teol.","godz. 8.00, 9.30 (Mątasek), 10.45 ","godz. 7.15, 17.00 (zimą)","godz. 10.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=227:Parafia-Maryi-Wspomozenia-Wiernych"
"Parafia Jasnogórskiej Królowej Polski","77-130 Lipnica","Lipnica","77-130 Lipnica Lipnica, Kościelna 2","","","59 821 84 09","ks. Leszek Wołoszyk","godz. 8.00, 10.00 ","godz. 17.00 (zimą), 18.00 (latem)","godz. 9.00, 18.00 ","53.995539768884,17.406947108398","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=139:Parafia-Jasnogorskiej-Krolowej-Polski"
"Parafia Świętego Michała Archanioła","83-424","Lipusz","83-424 Lipusz, Wybickiego 9","","","58 687 45 10","ks. Jan Antoni Ostrowski","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=267:Parafia-Swietego-Michala-Archaniola"
"Parafia Narodzenia Najświętszej Maryi Panny","86-141","Lniano","86-141 Lniano, Kościelna 4","","","52 332 30 12","ks. Jerzy Dąbrowski, mgr teol.","godz. 8.00, 9.30, 11.00 ","godz. 17.00 (zimą), 19.00 (latem)","godz. 9.00, 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=228:Parafia-Narodzenia-Najswietszej-Maryi-Panny"
"Parafia Świętego Jakuba Apostoła Starszego","83-240","Lubichowo","83-240 Lubichowo, Starogardzka 18","","","58 588 52 17","ks. Jan Edward Kulas","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=367:Parafia-Swietego-Jakuba-Apostola-Starszego"
"Parafia Świętego Mikołaja","89-526","Lubiewo","89-526 Lubiewo, Wojska Polskiego 39,","","","52 334 93 12, kom. 604 541 425","ks. Roman Walkows","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=287:Parafia-Swietego-Mikolaja"
"Lubiszewo - Parafia Świętej Trójcy Sanktuarium Matki Bożej Pocieszenia","83-112","Lubiszewo","83-112 Lubiszewo","","","58 536 99 24","ks. Roman Misiak","godz. 7.00, 9.00, 11.00 ","godz. 16.00 (zimą), 17.00 (latem)","godz. 9.00, 17.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=402:Lubiszewo-Parafia-Swietej-Trojcy-Sanktuarium-Matki-Bozej-Pocieszenia"
"Parafia Błogosławionego Jana Pawła II, Papieża","77-100","Mądrzechowo","77-100 Mądrzechowo, ul. Jana Pawła II","","","","ks. Radosław Orlikowski, lic. teol.","godz. 11.00 święta zniesione: godz. 18.00","","","54.158123697397,17.512524725037","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=161:Parafia-Blogoslawionego-Jana-Pawla-II-Papieza"
"Parafia Świętego Wawrzyńca","86-013","Mąkowarsko","86-013 Mąkowarsko, Bydgoska 2","","","52 382 31 10","ks. Wiesław Wiśniewski","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=257:Parafia-Swietego-Wawrzynca"
"Parafia Najświętszej Maryi Panny Królowej Polski","86-170 Nowe","Mątawy","86-170 Nowe Mątawy","","","52 332 85 11","ks. Ryszard Thiede, mgr teol.","godz. 9.00, 10.30 ","godz. 16.00, 17.00 (latem)","godz. 9.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=316:Parafia-Najswietszej-Maryi-Panny-Krolowej-Polski"
"Parafia Świętego Wojciecha i Świętego Brata Alberta Chmielowskiego","83-334","Miechucino","83-334 Miechucino, Kościelna 2","","","58 684 28 84","ks. Piotr Grabowski","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=344:Parafia-Swietego-Wojciecha-i-Swietego-Brata-Alberta-Chmielowskiego"
"Parafia Świętego Kazimierza","76-243","Mikorowo","76-243 Mikorowo","","","59 821 22 28","ks. Bolesław Konewka","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=307:Parafia-Swietego-Kazimierza"
"Parafia Świętego Jana Chrzciciela","83-329","Mirachowo","83-329 Mirachowo, Kartuska 5","","","58 685 56 23","ks. Bogdan Myszk","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=345:Parafia-Swietego-Jana-Chrzciciela"
"Miłobądz - Parafia Macierzyństwa Najświętszej Maryi Panny","83-111","Miłobądz","83-111 Miłobądz, Pamięci Narodowej 23,","","","58 530 04 79","ks. Aleksander Cesling, mgr teol.","godz. 7.45, 10.15, 12.15 ","godz. 17.00 (zimą), 18.00 (latem)","godz. 9.00, 15.30, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=403:Milobadz-Parafia-Macierzynstwa-Najswietszej-Maryi-Panny"
"Parafia Świętego Józefa","89-650","Mokre koło Czerska","89-650 Mokre koło Czerska, Mokre 2","","","52 398 60 08","ks. Dariusz Cieszyński","godz. 8.00, 9.30, 11.00 ","godz. 17.00 (zimą), 18.00 (latem)","godz. 10.00, 18.00 ","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=182:Parafia-Swietego-Jozefa"
"Parafia Świętego Brata Alberta Chmielowskiego","84-300","Mosty","84-300 Mosty, św. Brata Alberta","","","59 861 29 86","ks. Jacek Giełdon","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=281:Parafia-Swietego-Brata-Alberta-Chmielowskiego"
"Parafia Wniebowzięcia Najświętszej Maryi Panny","83-321","Mściszewice","83-321 Mściszewice","","","58 684 48 13","ks. Ireneusz Lehmann","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=386:Parafia-Wniebowziecia-Najswietszej-Maryi-Panny"
"Parafia Świętej Jadwigi Królowej","77-127","Nakla","77-127 Nakla, Nakla 16b","","","59 823 12 23","Ks. Leszek CAŁA","godz. 9.00, 11.00 latem: godz. 7.00, 9.30 (Grabowo), 11.00 ","godz. 17.00 (zimą), 18.00 (latem)","godz. 9:00, 17.00 ","54.180188293,17.502345064063","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=162:Parafia-Swietej-Jadwigi-Krolowej"
"Parafia Świętego Mikołaja","83-423","Niedamowo","83-423 Niedamowo, Niedamowo 40","","","58 686 17 11","ks. Dariusz Wiczling","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=269:Parafia-Swietego-Mikolaja"
"Parafia Świętego Jakuba Apostoła","86-120","Niewieścin","86-120 Niewieścin, Niewieścin 19","","","52 332 05 09","ks. Andrzej Danielski","","","","","http://www.diecezja-pelplin.pl/dekanaty-i-parafie?pid=104&sid=258:Parafia-Swietego-Jakuba-Apostola"
